City_ID,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
456,456,Kununurra,AU,-15.7667,128.7333,76.98,36,7,8.05,clear sky
457,457,Fayaoue,NC,-20.65,166.5333,78.04,75,0,16.78,clear sky
458,458,College,US,64.8569,-147.8028,53.92,64,75,8.05,light intensity shower rain
459,459,Plettenberg Bay,ZA,-34.0527,23.3716,62.51,69,8,4.76,clear sky
460,460,Half Moon Bay,US,37.4636,-122.4286,76.87,47,0,17.27,haze
461,461,Huaicheng,CN,23.9051,112.1931,70.79,81,98,0.92,overcast clouds
462,462,Ambulu,ID,-8.345,113.6058,75.83,91,53,2.39,broken clouds
463,463,Darnah,LY,32.767,22.6367,60.37,81,0,0.51,clear sky
464,464,Kenai,US,60.5544,-151.2583,55.49,81,100,14.97,moderate rain
465,465,Ravar,IR,31.2656,56.8055,76.64,21,77,7.29,broken clouds
467,467,Westport,US,41.1415,-73.3579,71.62,37,0,8.05,clear sky
468,468,Grand Gaube,MU,-20.0064,57.6608,76.37,82,13,11.01,few clouds
470,470,Mattru,SL,7.6244,-11.8332,74.71,95,30,8.97,heavy intensity rain
473,473,Roma,US,43.2128,-75.4557,62.74,43,0,9.22,clear sky
474,474,Marsa Matruh,EG,31.3525,27.2453,62.8,82,0,9.22,clear sky
475,475,Syracuse,IT,37.0881,15.2792,63.77,83,43,12.62,light rain
477,477,Taiyuan,CN,37.8694,112.5603,66.06,59,0,6.71,clear sky
478,478,Adrar,MR,20.5022,-10.0711,82.58,17,72,11.52,broken clouds
479,479,Frutal,BR,-20.0247,-48.9406,62.04,50,0,1.9,clear sky
481,481,Cienfuegos,CU,22.1461,-80.4356,84.34,65,43,5.75,scattered clouds
483,483,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,88,40,19.13,scattered clouds
